isco2d,a,b - e,f,g,h,i,j,k,l - n,o,p,q,r - u
11,1,0.1,0,0,0.5,0,0.25,0.25,0,1,0,1,0
12,1,0.1,0,0,0.5,0,0.25,0.25,0,1,0,1,0
13,1,0.1,0,0,0.5,0,0.25,0.25,0,1,0,1,0
14,1,0.1,0,0,0.5,0,0.25,0.25,0,1,0,1,0
21,1,0.1,0,0,0.5,0,0.25,0.25,0,1,0,1,0
22,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1,0.1,0,0,0,0,0.25,0.25,0,1,0,0,0
24,1,0.1,0,0,0.5,0,0.25,0.25,0,1,0,1,0
25,1,0.1,0,0,0,0,0.25,0.25,0,1,0,1,0
26,1,0,0,0,0,0,0,0,0,1,0,0,0
31,1,0.1,0,0,0.5,0,0.25,0.25,0,1,0,1,0
32,1,1,1,1,1,1,1,1,1,1,1,1,1
33,1,0.1,0,0,0.5,0,0.25,0.25,0,1,0,1,0
34,1,0,0,0,0,0,0,0,0,1,0,1,0
35,1,0.1,0,0,0.5,0,0.25,0.25,0,1,0,1,0
41,1,0.1,0,0,0.5,0,0.25,0.25,0,1,0,1,0
42,1,0.1,0,0,0,0,0.25,0.25,0,1,0,1,0
43,1,0.1,0,0,0.5,0,0.25,0.25,0,1,0,1,0
44,1,0.1,0,0,0,0,0.25,0.25,0,1,0,1,0
51,1,0,0,0,0,0,0,0,0,1,0,0,0
52,1,0,0,0,0,0,0,0,0,1,0,0,0
53,1,0.1,0,1,0,0,0.25,0.25,0,1,0,1,0
54,1,0.1,0,0,0,0,0.25,0.25,0,1,0,1,0
61,1,0.1,0,0,0,0,0.25,0.25,1,1,0,0,1
62,1,0.1,0,0,0,0,0.25,0.25,0,1,0,0,0
63,1,0.1,0,0,0,0,0.25,0.25,0,1,0,0,0
71,1,0.1,0,0,0,0,0.25,0.25,0,1,0,0,0
72,1,0.1,0,0,0,0,0.25,0.25,0,1,0,0,0
73,1,0.1,0,0,0,0,0.25,0.25,0,1,0,0,0
74,1,0.1,0,0,0,0,0.25,0.25,0,1,0,1,0
75,1,0.1,0,0,0,0.25,0.25,0.25,0,1,0,0,0
81,1,0.1,0,0,0,0,0.25,0.25,0,1,0,0,0
82,1,0.1,0,0,0,0,0.25,0.25,0,1,0,0,0
83,1,0.1,0,0,0.5,0.25,0.25,0.25,0,1,0,0.5,0
91,1,0.1,0,0,0,0,0.25,0.25,0,1,0,1,0
92,1,0.1,0,0,0.5,0,0.25,0.25,0,1,0,0,0
93,1,0.1,0,0,0.25,0,0.25,0.25,0,1,0,0,0
94,1,0.1,0,1,0.25,0.25,0.25,0.25,0,1,0,1,0
95,1,0.1,0,0,0,0,0.25,0.25,0,1,0,1,0
96,1,0.1,0,0,0,0,0.25,0.25,0,1,0,1,0
,,,,,,,,,,,,,
