isco2d,AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
11,0.968395472,0.983250618,,0.980309069,0.971311212,0.975155294,0.990188658,0.952821255,0.966352165,0.965082288,0.961499214,0.970574677,0.964931726,0.965914071,0.960346341,0.970871866,0.975876629,0.982492566,0.983883798,0.968214035,,0.979706883,0.979103327,,0.972392917,0.982689798,0.979340911,,0.961207569,0.978027761
12,0.934159338,0.940645337,,0.941244841,0.941700101,0.959564447,0.950250089,0.95451349,0.949343562,0.946746528,0.931724727,0.952739179,0.950276732,0.962029099,0.959835172,0.96658051,0.933721781,0.948557675,0.950804949,0.970616281,,0.948465407,0.952563405,,0.944436371,0.944540024,0.953231931,,0.943469286,0.955279469
13,0.722065926,0.716971278,,0.682787359,0.777032971,0.604325473,0.672802866,0.716831565,0.600977421,0.673376799,0.701077998,0.659062326,0.698551416,0.563452184,0.627866924,0.547997475,0.638042688,0.579735398,0.773241997,0.566096067,,0.700609982,0.633830369,,0.668554842,0.557094693,0.692664981,,0.605941832,0.549674749
14,0.297641635,0.440302879,,0.158905908,0.609511375,0.671459794,0.037087444,0.724702358,0.806765258,0.669401526,0.740606308,0.642563045,0.540059686,0.484417677,0.782716751,0.589848518,0.452842683,0.799191773,0.661901951,0.618118405,,0.595837831,0.822133422,,0.592730045,0.824643672,0.518074989,,0.692203939,0.659703255
21,0.726109743,0.764775097,,0.733421743,0.715376735,0.701964378,0.702975333,0.705426812,0.764611959,0.736429572,0.747484505,0.703766108,0.704909086,0.717114866,0.741030335,0.708716094,0.754230261,0.698453486,0.755203247,0.649604678,,0.729549646,0.70638907,,0.755271673,0.690749586,0.731757343,,0.751460016,0.741836309
22,0.049335212,0.066288799,,0.095616721,0.055911969,0.059316661,0.101826228,0.056379523,0.092283517,0.061869938,0.087514579,0.082850002,0.091837414,0.067915298,0.094175629,0.041519601,0.102073751,0.055574939,0.093324885,0.05986923,,0.065029606,0.038718265,,0.064758405,0.059520759,0.052585229,,0.091900617,0.050972205
23,0.993513167,0.995124817,,0.995626986,0.99382633,0.993077636,0.991783202,0.9921785,0.994060159,0.993682444,0.992939532,0.996378958,0.994339526,0.996418595,0.995173216,0.994387925,0.994995892,0.993932605,0.99458158,0.994699776,,0.992543519,0.995511055,,0.995255947,0.997783601,0.995264351,,0.995782375,0.992523015
24,0.971719503,0.971298695,,0.967847645,0.971643627,0.979042053,0.973084331,0.96528995,0.968809724,0.969058216,0.976774931,0.979979396,0.969155192,0.968246937,0.979682684,0.969558299,0.976323724,0.974041522,0.96362114,0.972121537,,0.969594061,0.963605583,,0.973627329,0.967171311,0.969174862,,0.975159287,0.970320702
25,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,,1,1
26,0.621933997,0.643946767,,0.651085675,0.743764162,0.671433389,0.614234388,0.673624754,0.706370294,0.693482816,0.610133111,0.614131451,0.715910554,0.675991595,0.684061587,0.65199399,0.735889912,0.702577889,0.664605498,0.683647573,,0.606420636,0.649680674,,0.682202578,0.584426522,0.635851622,,0.606464982,0.609169543
31,0.255190581,0.168219104,,0.196593136,0.15450336,0.197676301,0.194361091,0.29652974,0.105506048,0.192126811,0.14430128,0.159349993,0.216801718,0.180704936,0.202514023,0.23103039,0.17673558,0.138365641,0.257505804,0.206743762,,0.170417085,0.274121672,,0.186278686,0.245755211,0.254739344,,0.184260204,0.235926658
32,0.062068548,0.013275503,,0.032680444,0.040740825,0.01801119,0.04126567,0.041961633,0.022531554,0.01971289,0.02521494,0.021442052,0.019406674,0.014985988,0.031700317,0.061894812,0.042681299,0.051729228,0.011098324,0.025841158,,0.048481077,0.062873133,,0.051022999,0.02911271,0.054659821,,0.019732643,0.038495045
33,0.873079836,0.805844128,,0.848641753,0.848912299,0.802607,0.852852166,0.866802096,0.860713363,0.922394276,0.799573898,0.857802987,0.840848029,0.873963118,0.767887115,0.660353303,0.857565582,0.775429308,0.865097046,0.785664618,,0.774093628,0.774071753,,0.884723604,0.83798933,0.846210778,,0.823795021,0.802492023
34,0.438120067,0.426524907,,0.442122877,0.391586483,0.392248571,0.464524537,0.344019145,0.403549582,0.453262419,0.471639603,0.446614534,0.411667228,0.412313789,0.436783433,0.272190958,0.446394801,0.438262045,0.478471398,0.448512316,,0.466770858,0.462945163,,0.400175273,0.410841793,0.454169005,,0.349092931,0.372463316
35,0.960959315,0.930417895,,0.931034446,0.921758235,0.951480865,0.939366698,0.967457473,0.900198162,0.954546869,0.967837453,0.916787267,0.970008373,0.957392275,0.98450768,1,0.96068728,0.956781566,0.923107445,0.937781811,,0.9230147,0.968834579,,0.930677354,0.911174417,0.962714553,,0.967120409,0.966573417
41,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,,1,1
42,0.396528751,0.421712011,,0.41271174,0.401880175,0.406667203,0.385224611,0.425721705,0.415543348,0.431427807,0.40842846,0.408738345,0.40123722,0.38586694,0.41064468,0.410712212,0.405970454,0.396059126,0.42060256,0.412974417,,0.428407967,0.425232887,,0.42172417,0.387746274,0.425657541,,0.38888377,0.413741052
43,0.552079141,0.442852288,,0.423782527,0.583832383,0.539525509,0.27189377,0.449934483,0.321381748,0.544699907,0.540298998,0.602200866,0.436539263,0.519116759,0.451792955,0.713992298,0.423400104,0.416278541,0.47925657,0.380674154,,0.439558834,0.36432755,,0.344699055,0.309399307,0.433609694,,0.383393437,0.659472048
